acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,song_title,artist,mood
0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,0.286,Mask Off,Future,happy
0.199,0.743,0.359,0.00611,0.137,-10.401,0.0794,160.083,0.588,Redbone,Childish Gambino,calm
0.0344,0.838,0.412,0.000234,0.159,-7.148,0.289,75.044,0.173,Xanny Family,Future,calm
0.604,0.494,0.338,0.51,0.0922,-15.236,0.0261,86.468,0.23,Master Of None,Beach House,sad
0.18,0.678,0.561,0.512,0.439,-11.648,0.0694,174.004,0.904,Parallel Lines,Junior Boys,sad
0.00479,0.804,0.56,0,0.164,-6.682,0.185,85.023,0.264,Sneakinâ€™,Drake,happy
0.0145,0.739,0.472,7.27E-06,0.207,-11.204,0.156,80.03,0.308,Childs Play,Drake,exciting
0.0202,0.266,0.348,0.664,0.16,-11.609,0.0371,144.154,0.393,GyÃ¶ngyhajÃº lÃ¡ny,Omega,calm
0.0481,0.603,0.944,0,0.342,-3.626,0.347,130.035,0.398,I've Seen Footage,Death Grips,exciting
0.00208,0.836,0.603,0,0.571,-7.792,0.237,99.994,0.386,Digital Animal,Honey Claws,exciting
0.0572,0.525,0.855,0.0143,0.649,-7.372,0.0548,111.951,0.524,Subways - In Flagranti Extended Edit,The Avalanches,happy
0.0915,0.753,0.748,0.00348,0.212,-8.62,0.0494,104.322,0.642,Donme Dolap - Baris K Edit,Modern Folk ÃœÃ§lÃ¼sÃ¼,happy
0.253,0.603,0.434,0.0619,0.108,-11.062,0.0342,127.681,0.381,Cemalim,Erkin Koray,calm
0.366,0.762,0.476,0,0.103,-12.686,0.114,130.007,0.367,One Night,Lil Yachty,calm
0.44,0.662,0.603,0,0.0972,-8.317,0.0793,125.011,0.351,Oh lala,PNL,calm
0.019,0.637,0.832,0.0563,0.316,-6.637,0.163,99.988,0.317,Char,Crystal Castles,exciting
0.0239,0.603,0.955,0.0451,0.119,-4.111,0.0458,123.922,0.773,World In Motion,New Order,happy
0.233,0.789,0.659,0.00049,0.184,-12.654,0.0429,122.415,0.842,One Nation Under a Groove,Funkadelic,happy
0.314,0.713,0.611,0,0.117,-6.702,0.241,140.061,0.783,Bouncin,Chief Keef,exciting
0.0242,0.735,0.759,0.185,0.0966,-6.914,0.0449,109.982,0.763,C O O L - Radio Edit,Le Youth,happy
0.000702,0.854,0.719,0.308,0.428,-9.335,0.0655,128.049,0.471,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,happy
0.00024,0.747,0.74,0.369,0.0995,-4.134,0.0323,130.031,0.77,House of Jealous Lovers,The Rapture,exciting
0.118,0.854,0.401,0,0.527,-8.553,0.395,139.922,0.441,Imma Ride,Young Thug,exciting
0.000596,0.224,0.925,1.35E-06,0.0663,-1.71,0.0834,138.022,0.364,Girlfriend,Ty Segall,exciting
0.279,0.512,0.564,1.54E-05,0.133,-5.892,0.0316,94.498,0.401,If I Gave You My Love,Myron & E,sad
0.00219,0.781,0.795,0.269,0.0673,-6.758,0.036,109.977,0.795,This Ready Flesh,TR/ST,exciting
0.341,0.411,0.684,1.42E-06,0.198,-6.889,0.383,110.016,0.598,Lose My Mind,A-Trak,exciting
0.018,0.646,0.837,0.0403,0.316,-6.615,0.134,100.04,0.32,Char,Crystal Castles,exciting
0.0516,0.782,0.572,0,0.33,-7.467,0.0385,120.021,0.237,Look Alive,Rae Sremmurd,exciting
0.282,0.735,0.4,0.125,0.0811,-12.766,0.102,129.004,0.326,Please Stop Making Fake Versace,Father,exciting
